sd_mult,sl_mult,tp1_mult,tp2_mult,tp3_mult,rsi_bull,rsi_bear,piv_left,piv_right,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.5,1.5,0.5,2.0,4.0,30.0,50.0,3,2,37,1.9534206454531144,0.5945945945945946,0.2318805207573166,19,1.2771793311643485,0.5789473684210527,0.18830586817380568,1884.8776752193417,-3022.287477026589,16.31578947368421
1.0,2.0,1.5,2.5,3.5,30.0,70.0,3,2,47,1.4637598455424166,0.5319148936170213,0.1484167246942846,21,1.2718329664312713,0.5238095238095238,0.15149602938527898,3183.650526930433,-4142.183302702167,25.523809523809526
0.5,2.0,0.5,2.5,3.0,30.0,50.0,3,2,36,1.2697680889541156,0.5277777777777778,0.06686040266725111,20,1.2750515997383525,0.6,0.17004898030184418,2222.588150745461,-4014.7833027021666,16.4
0.5,2.0,0.5,1.5,3.0,30.0,50.0,3,2,37,1.2619788563594174,0.5675675675675675,0.04390137715882145,20,1.2676162006933904,0.65,0.1467205327300605,1972.8810661274028,-4014.7833027021666,16.4
1.0,1.5,1.0,2.5,4.0,30.0,70.0,3,2,50,1.29372621820671,0.5,0.15769364684115228,27,1.2608604030395285,0.4444444444444444,0.14595281884542138,2913.291983756783,-3412.840954644542,21.51851851851852
0.5,1.5,1.0,2.0,4.0,40.0,50.0,3,2,34,1.8646524070336463,0.6470588235294118,0.24561055186110337,19,1.257040999831535,0.5789473684210527,0.204427747624952,2021.9019203429966,-3118.954982244869,16.105263157894736
1.0,1.5,1.0,1.5,3.5,30.0,50.0,3,2,51,1.342462512887274,0.5686274509803921,0.10422224732996269,27,1.2560220063464105,0.5925925925925926,0.13896658265960815,2904.507593036245,-2711.0776646564136,20.77777777777778
1.0,1.5,1.0,1.5,4.0,30.0,50.0,3,2,51,1.3454302936228983,0.5686274509803921,0.10428470114774747,27,1.2553462137557583,0.5925925925925926,0.13910241494713332,2896.8408899317815,-2764.027007747589,21.48148148148148
0.5,1.5,1.5,1.5,4.0,40.0,50.0,3,2,34,1.8001064092247372,0.6176470588235294,0.2311434751133903,20,1.2539063659001344,0.6,0.22462664823044703,2443.3562773859508,-4970.852618471057,15.6
1.0,2.0,1.0,2.5,4.0,30.0,70.0,3,2,46,1.5766810756449996,0.5652173913043478,0.16120075379796936,21,1.251051362491051,0.5714285714285714,0.14364145308169546,2807.802156837745,-4014.7833027021666,25.61904761904762
0.5,2.0,0.5,1.5,3.5,40.0,50.0,3,2,34,1.4069110014347905,0.5882352941176471,0.07444529116790355,20,1.2507066241836462,0.65,0.14862665455699917,1848.2227560330566,-4014.7833027021666,16.3
0.5,1.5,1.0,1.5,3.5,30.0,50.0,3,2,36,1.5940569554678916,0.6388888888888888,0.16368396808053384,21,1.250596785210605,0.6190476190476191,0.20759103556281472,2234.2758583301475,-4437.524128218563,14.666666666666666
0.5,2.0,0.5,2.5,3.5,40.0,50.0,3,2,33,1.399539360945549,0.5454545454545454,0.09965949820767789,20,1.2501939727918805,0.6,0.17195510212878343,2021.723050671745,-4014.7833027021666,16.3
1.0,2.0,0.5,1.5,4.0,30.0,70.0,3,2,47,1.787297426185105,0.6382978723404256,0.15148692326261223,24,1.2477323125583035,0.625,0.11743532680024327,2242.9222566115704,-4014.7833027021666,24.041666666666668
1.0,2.0,1.5,2.5,3.0,30.0,70.0,3,2,48,1.2956483719535061,0.5,0.09781742281288876,23,1.2450897877566107,0.5217391304347826,0.14831916781220128,3340.796427215286,-4890.520258098849,23.26086956521739
0.5,2.0,1.5,2.5,3.5,30.0,70.0,3,2,36,1.2426335403455608,0.5833333333333334,0.1312105470672797,21,1.4939850886327433,0.6190476190476191,0.27898390186727173,5379.262148500413,-4014.7833027021666,20.571428571428573
0.5,1.5,1.0,1.5,3.0,30.0,50.0,3,2,37,1.538858779572426,0.6216216216216216,0.14152603020651344,21,1.2423553286867526,0.6190476190476191,0.20503244744262117,2160.7965144780464,-4437.524128218563,14.285714285714286
0.5,2.0,0.5,2.5,3.0,40.0,50.0,3,2,34,1.338228211407804,0.5294117647058824,0.07710716590910802,20,1.2420437758610217,0.6,0.169940213984131,1955.8643858175851,-4014.7833027021666,15.9
0.5,2.0,0.5,1.5,3.0,40.0,50.0,3,2,35,1.335953160001778,0.5714285714285714,0.05254343142185785,20,1.2417730670759155,0.65,0.1466117664123468,1782.3640911788966,-4014.7833027021666,15.9
0.5,1.5,0.5,2.0,4.0,40.0,50.0,3,2,35,2.0595984445757662,0.6,0.24759442270111132,19,1.2413184201174405,0.5789473684210527,0.18815321369280494,1641.0159472852874,-3022.287477026589,16.105263157894736
1.0,1.5,1.0,1.5,3.0,30.0,50.0,3,2,52,1.399953905549965,0.5769230769230769,0.11967206850082349,27,1.2390227473726525,0.5925925925925926,0.13180967474938873,2711.65512121215,-2739.427570812297,20.666666666666668
1.0,2.0,1.5,2.0,3.0,30.0,70.0,3,2,47,1.2388401459696305,0.5319148936170213,0.08313157491184896,22,1.3031114754458974,0.5454545454545454,0.14991594224034432,3549.977845553099,-4142.183302702167,24.09090909090909
1.0,2.0,1.0,2.0,3.0,30.0,70.0,3,2,48,1.299358823017448,0.5625,0.0910018644006776,22,1.2356459916750888,0.5909090909090909,0.12444529254794276,2635.5058069006427,-4014.7833027021666,24.09090909090909
